city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,san francisco,37.77,-122.42,59.0,77,90,9.17,US,1595256669
165,urengoy,65.97,78.37,60.21,65,46,8.23,RU,1595256669
166,hobart,-42.88,147.33,45.0,75,90,8.05,AU,1595256670
167,carutapera,-1.2,-46.02,87.57,55,42,9.46,BR,1595256670
168,constitucion,-35.33,-72.42,55.76,81,34,10.58,CL,1595256548
169,sapa,5.15,120.32,82.76,76,4,5.41,PH,1595256670
170,kutum,14.2,24.67,81.12,46,55,10.27,SD,1595256671
171,tsabong,-26.02,22.4,72.18,19,0,7.18,BW,1595256671
172,port lincoln,-34.73,135.87,52.9,64,41,4.41,AU,1595256671
173,ishigaki,24.34,124.16,85.15,75,0,9.46,JP,1595256671
174,leningradskiy,69.38,178.42,37.81,88,12,6.64,RU,1595256671
175,tasiilaq,65.61,-37.64,44.6,81,20,10.29,GL,1595256672
176,santa rosa,14.31,121.11,84.2,74,86,3.36,PH,1595256672
177,ishim,56.11,69.49,70.65,60,76,13.56,RU,1595256672
178,san pedro,14.35,121.02,84.2,74,91,3.36,PH,1595256672
179,nome,64.5,-165.41,46.4,100,90,4.7,US,1595256673
180,aktanysh,55.72,54.08,70.59,83,2,5.26,RU,1595256673
181,tiksi,71.69,128.87,48.45,85,100,16.02,RU,1595256673
182,cervo,43.67,-7.41,64.99,80,61,10.0,ES,1595256674
183,miri,4.41,114.01,82.4,88,40,2.24,MY,1595256633
184,hasaki,35.73,140.83,68.0,100,75,9.17,JP,1595256674
185,te anau,-45.42,167.72,40.57,88,79,1.5,NZ,1595256674
186,frankenthal,49.54,8.36,84.0,39,27,4.7,DE,1595256674
187,tahe,52.33,124.73,51.87,87,6,4.88,CN,1595256675
188,naze,28.37,129.48,80.6,94,20,2.24,JP,1595256675
189,el sauzal,31.9,-116.68,66.0,92,0,1.01,MX,1595256675
190,katsuura,35.13,140.3,75.99,88,75,8.05,JP,1595256675
191,ritchie,-29.04,24.6,75.2,8,0,5.82,ZA,1595256676
192,arkhangelsk,64.54,40.54,78.8,36,0,6.71,RU,1595256544
193,balangiga,11.11,125.39,80.74,83,97,5.55,PH,1595256676
194,shirokiy,49.76,129.52,59.07,98,34,7.02,RU,1595256677
195,kwinana,-32.25,115.77,50.0,87,23,11.32,AU,1595256677
196,longyearbyen,78.22,15.64,44.6,87,75,4.7,SJ,1595256678
197,gunjur,13.2,-16.73,86.0,79,75,6.93,GM,1595256678
198,machali,-34.18,-70.67,50.0,87,20,4.7,CL,1595256565
199,alta floresta,-9.88,-56.09,89.6,35,2,11.41,BR,1595256678
200,vostok,46.49,135.88,59.49,100,100,4.74,RU,1595256679
201,lang suan,9.95,99.08,79.93,86,92,5.77,TH,1595256679
202,bambous virieux,-20.34,57.76,71.6,60,75,11.41,MU,1595256679
